manufacturer,country,model,year,propulsion,0_60_mph_sec,0_100_kmh_sec,0_100_mph_sec,0_200_kmh_sec,quarter_mile_sec,top_speed_mph,top_speed_kmh,power_hp,power_kw,torque,engine,nurburgring_lap_sec,nurburgring_date,nurburgring_driver,top_gear_lap_sec,top_gear_episode,sources
Caterham,GB,R400,,,,,,,,,,,,,,,,,85.0,"Series 02, Episode 06",top_gear
Caterham,GB,R500 Superlight,,,,,,,,,,,,,,475.0,2000,Robert Nearn,,,nurburgring
Caterham,GB,Seven 620R (wet),,,,,,,,,,,,,,,,,82.3,"Series 21, Episode 04",top_gear
Caterham,GB,Seven Superlight R500 (cold),,,,,,,,,,,,,,,,,77.9,"Series 12, Episode 06",top_gear
Chery,CN,Riich G5 2.0T,,,,,,,,,,,,,,536.81,2009-10-13,Dirk Schoysman,,,nurburgring
Chevrolet,US,Camaro SS (2010),,,,,,,,,,,,,,500.0,2008,,87.9,"Series 15, Episode 03","nurburgring, top_gear"
Chevrolet,US,Camaro Z/28 (2014),,,,,,,,,,,,,,457.4,2013-10,Adam Dean,,,nurburgring
Chevrolet,US,Camaro ZL1 (2017),,,,,,,,,,,,,,449.6,2016-10-24,Drew Cattell,,,nurburgring
Chevrolet,US,Camaro ZL1 1LE (2018),,,,,,,,,,,,,,436.04,2017,Bill Wise,,,nurburgring
Chevrolet,US,Cobalt SS Turbo,,,,,,,,,,,,,,542.0,2007-10,John Heinricy,,,nurburgring
Chevrolet,US,Cobalt SS/TC (2007),,,,,,,,,,,,,,502.85,2007,,,,nurburgring
Chevrolet,US,"Corvette (C6, 2005, N/A 6.0, 404 PS)",,,,,,,,,,,,,,495.0,2005,Horst von Saurma,,,nurburgring
Chevrolet,US,Corvette (C7) Z06,2016,ICE,,,,,10.9,,,,,,,,,,,,acceleration
Chevrolet,US,Corvette (C7) ZR1,2019,ICE,,,,,10.8,,,,,,,,,,,,acceleration
Chevrolet,US,Corvette (C8) (2020),,,,,,,,,,,,,,449.9,2019-07,Oliver Gavin,,,nurburgring
Chevrolet,US,Corvette (C8) E-Ray,2024,Hybrid,2.5,,,,10.6,,,,,,,,,,,,acceleration
Chevrolet,US,Corvette (C8) Stingray Z51,2020,ICE,2.8,2.9,,,,,,,,,,,,,,,acceleration
Chevrolet,US,Corvette (C8) Z06,2023,ICE,2.6,,,,10.5,,,,,,,,,,,,acceleration
Chevrolet,US,Corvette (C8) ZR1,2025,ICE,2.2,,,,9.5,,,1064.0,793.0,,,,,,,,"acceleration, power_output"
Chevrolet,US,Corvette C5,,,,,,,,,,,,,,520.0,1997,Horst von Saurma,,,nurburgring
Chevrolet,US,"Corvette C5 Commemorative Edition (2003, 344 PS)",,,,,,,,,,,,,,498.0,2003,Horst von Saurma,,,nurburgring
Chevrolet,US,Corvette C6 LS2,,,,,,,,,,,,,,,,,86.8,"Series 04, Episode 10",top_gear
Chevrolet,US,Corvette C6 Z06 (2012),,,,,,,,,,,,,,442.68,2011-06-23,Jim Mero,82.4,"Series 08, Episode 02","nurburgring, top_gear"
Chevrolet,US,Corvette C6 ZR1 (2012),,,,,,,,,,,,,,439.63,2011-06-09,Jim Mero,,,nurburgring
Chevrolet,US,Corvette C6 ZR1 (damp),,,,,,,,,,,,,,,,,80.4,"Series 14, Episode 02",top_gear
Chevrolet,US,Corvette C7 Stingray (written as Corvette S'ray),,,,,,,,,,,,,,,,,79.8,"Series 22, Episode 05",top_gear
Chevrolet,US,Corvette C8 Stingray (damp),,,,,,,,,,,,,,,,,81.7,"Series 31, Episode 03",top_gear
Chevrolet,US,Corvette Z06 (2025),,,,,,,,,,,,,,431.826,2025-06,Aaron Link,,,nurburgring
Chevrolet,US,Corvette Z06 (C5),,,,,,,,,,,,,,476.0,,Dave Hill,,,nurburgring
Chevrolet,US,"Corvette Z06 (C6, 2007, N/A 7.0, 512 PS)",,,,,,,,,,,,,,469.0,2007-06-22,Horst von Saurma,,,nurburgring
Chevrolet,US,Corvette Z06 (C7),,,,,,,,,,,,,,433.9,2017-04-24,Christian Gebhardt,,,nurburgring
Chevrolet,US,Corvette ZR1,,,,,,,,,,,,,,410.763,2025-06,Brian Wallace,,,nurburgring
Chevrolet,US,Corvette ZR1X,,,,,,,,,,,,,,409.275,2025-06,Drew Cattell,,,nurburgring
Chrysler,US,Viper GTS,,,,,,,,,,,,,,490.0,1997,Horst von Saurma,,,nurburgring
Citroën,FR,C4 VTS,,,,,,,,,,,,,,,,,95.8,"Series 05, Episode 06",top_gear
Clio,FR,Renault Sport 182,,,,,,,,,,,,,,,,,93.8,"Series 04, Episode 06",top_gear
Clive,GB,Sutton CS850R Mustang,,,,,,,,,,,,,,,,,82.3,—N/a,top_gear
Cosworth,GB,Impreza STI CS400 (wet) (written as Subaru Cossie),,,,,,,,,,,,,,,,,87.7,"Series 16, Episode 03",top_gear
Cupra,ES,"Formentor VZ5 (2023, 390 PS)",,,,,,,,,,,,,,478.99,2023,Christian Gebhardt,,,nurburgring
Cupra,ES,Leon Estate,,,,,,,,,,,,,,,,,87.4,—N/a,top_gear
Czinger,US,21C,2021,,,,,,,,,1349.0,1006.0,,,,,,,,power_output
Dacia,FR,Sandero,,,,,,,,,,,,,,,,,99.7,"Series 26, Episode 04",top_gear
Daimler,DE,Phoenix (de),1899,,,,,,,,,23.0,17.0,,,,,,,,power_output
Dallara,IT,Stradale,,,,,,,,,,,,,,,,,72.8,"Series 27, Episode 03",top_gear
Dauer,AT,962 Le Mans,1993,,,,,,,251.4,404.6,720.0,537.0,,"2,994 cc (182.7 cu in) twin-turbocharged flat-6 537 kW (730 PS; 720 hp)",,,,,,"power_output, speed_records"
Denza,CN,Z9/Z9 GT BEV,2024,,,,,,,,,952.0,710.0,,,,,,,,power_output
Dodge,US,Challenger SRT Demon,2018,ICE,2.6,,,,10.7,,,,,,,,,,,,acceleration
Dodge,US,Challenger SRT Demon 170,2023,,,,,,,,,1025.0,764.0,,,,,,,,power_output
Dodge,US,Viper ACR (2017),,,,,,,,,,,,,,421.3,2017-09-01,Lance David Arnold,75.1,"Series 23, Episode 01","nurburgring, top_gear"
Dodge,US,Viper ACR-X,,,,,,,,,,,,,,423.06,2012-02,Lance Arnold,,,nurburgring
Dodge,US,Viper GTS-R,,,,,,,,,,,,,,542.206,2003-06-01,Peter Zakowski/Pedro Lamy/Robert Lechner,,,nurburgring
Dodge,US,Viper SRT-10,2008,ICE,,,,,10.92,,,,,,,,,,,,acceleration
Dodge,US,Viper SRT-10 (very wet),,,,,,,,,,,,,,,,,88.5,"Series 05, Episode 03",top_gear
Dodge,US,Viper SRT-10 roadster (ZB),,,,,,,,,,,,,,493.0,2007,Horst von Saurma,,,nurburgring
Donkervoort,NL,"D8 180R (2001, 1.8T, 240 PS",,,,,,,,,,,,,,490.0,2001,Horst von Saurma,,,nurburgring
Donkervoort,NL,D8 RS,,,,,,,,,,,,,,434.89,2006,Michael Düchting,,,nurburgring
Drako,US,GTE,2020,,,,,,,,,1200.0,895.0,,,,,,,,power_output
Duesenberg,US,Model SJ,1932,,,,,,,,,320.0,239.0,,,,,,,,power_output
Duesenberg,US,Model SSJ,1935,,,,,,,,,400.0,298.0,,,,,,,,power_output
Eagle,GB,Low Drag GT,,,,,,,,,,,,,,,,,87.5,"Series 22, Episode 07",top_gear
Eagle,GB,Low Drag GT (very wet),,,,,,,,,,,,,,,,,97.8,"Series 22, Episode 07",top_gear
Einride,SE,,,,,,,,,,,,,,,,,,164.1,—N/a,top_gear
Electric,US,Raceabout,,,,,,,,,,,,,,522.72,2011-09,Ralf Kelleners,,,nurburgring
Faraday,US,Future FF 91,2023,,,,,,,,,1050.0,783.0,,,,,,,,power_output
Ferrari,IT,208 GTB Turbo (Not Shown on TV),,,,,,,,,,,,,,,,,95.3,—N/a,top_gear
Ferrari,IT,296 GTB,2023,Hybrid,2.3,2.9,,,9.6,,,819.0,610.0,,,418.7,2023-06-07,Christian Gebhardt,,,"acceleration, nurburgring, power_output"
Ferrari,IT,312T,,,,,,,,,,,,,,418.6,1975-08-02,Niki Lauda,,,nurburgring
Ferrari,IT,360 Challenge Stradale,,,,,,,,,,,,,,,,,82.3,"Series 04, Episode 03",top_gear
Ferrari,IT,360 Challenge Stradale F1,,,,,,,,,,,,,,476.0,2004,Horst von Saurma,,,nurburgring
Ferrari,IT,360 Modena,,,,,,,,,,,,,,489.0,1999,Horst von Saurma,,,nurburgring
Ferrari,IT,365 GTB/4 Daytona,1968,,,,,,,174.0,280.0,,,,"4,390 cc (268 cu in) V12 262 kW (357 PS; 352 hp)",,,,,,speed_records
Ferrari,IT,430 Scuderia,,,,,,,,,,,,,,,,,79.7,"Series 11, Episode 01",top_gear
Ferrari,IT,458 Italia,,,,,,,,,,,,,,458.0,2010,Horst von Saurma,79.1,"Series 15, Episode 06","nurburgring, top_gear"
Ferrari,IT,"458 Italia (570 PS, 2010)",,,,,,,,,,,,,,452.92,2010-10,Sascha Bert,,,nurburgring
Ferrari,IT,488 GTB,,,,,,,,,,,,,,441.0,2016-08,Horst von Saurma,,,nurburgring
Ferrari,IT,488 Pista,2019,ICE,2.7,2.9,,,10.1,,,,,,,420.03,2019-05-16,Christian Gebhardt,72.7,"Series 27, Episode 01","acceleration, nurburgring, top_gear"
Ferrari,IT,550 Maranello,,,,,,,,,,,,,,487.0,1998,Horst von Saurma,,,nurburgring
Ferrari,IT,575M Maranello,,,,,,,,,,,,,,485.0,2002,Horst von Saurma,,,nurburgring
Ferrari,IT,575M Maranello (very wet),,,,,,,,,,,,,,,,,95.2,"Series 01, Episode 04",top_gear
Ferrari,IT,575M Maranello GTC,,,,,,,,,,,,,,,,,86.8,"Series 05, Episode 04",top_gear
Ferrari,IT,599 GTB Fiorano,,,,,,,,,,,,,,467.0,2007,Horst von Saurma,81.22,"Series 10, Episode 03","nurburgring, top_gear"
Ferrari,IT,599 GTO,,,,,,,,,,,,,,,,,79.8,"Series 16, Episode 02",top_gear
Ferrari,IT,599XX,,,,,,,,,,,,,,418.16,2010-04-21,Raffaele de Simone,,,nurburgring
Ferrari,IT,812 Competizione/Competizione A,2021,,,,,,,,,819.0,610.0,,,,,,,,power_output
Ferrari,IT,812 Superfast,2018,ICE,2.8,3.0,,,10.5,,,,,,,447.48,2018-06-20,Christian Gebhardt,,,"acceleration, nurburgring"
Ferrari,IT,"California (Type F149, 2010, 460 PS)",,,,,,,,,,,,,,476.0,2010,Horst von Saurma,,,nurburgring
Ferrari,IT,Daytona SP3,2023,,,,,,,,,829.0,618.0,,,,,,,,power_output
Ferrari,IT,Enzo,,,,,,,,,,,,,,445.21,2008-08,Marc Basseng,79.0,"Series 05, Episode 02","nurburgring, top_gear"
Ferrari,IT,"F12 Berlinetta (740 PS, 2014)",,,,,,,,,,,,,,453.0,2014-09,Horst von Saurma,,,nurburgring
Ferrari,IT,F355,,,,,,,,,,,,,,498.0,1997,Horst von Saurma,,,nurburgring
Ferrari,IT,F430 F1,,,,,,,,,,,,,,475.0,2005,Horst von Saurma,82.9,"Series 06, Episode 08","nurburgring, top_gear"
Ferrari,IT,F430 Scuderia,,,,,,,,,,,,,,459.0,2008,Horst von Saurma,,,nurburgring
Ferrari,IT,F430 Spider F1,,,,,,,,,,,,,,,,,83.2,"Series 06, Episode 08",top_gear
Ferrari,IT,SF90 Stradale,2021,Hybrid,2.0,,,,9.5,,,986.0,735.0,,,,,,71.3,"Series 29, Episode 01","acceleration, power_output, top_gear"
Ferrari,IT,Testarossa,,,,,,,,,,,,,,557.12,1987,,,,nurburgring
Fiat,IT,500 Abarth Essesse SS,,,,,,,,,,,,,,,,,95.5,"Series 12, Episode 02",top_gear
Fiat,IT,"Grande Punto Abarth Esseesse (2009, 180 PS)",,,,,,,,,,,,,,549.0,2009,Horst von Saurma,,,nurburgring
Fiat,IT,New 500,,,,,,,,,,,,,,,,,99.6,—N/a,top_gear
Ford,US,Capri Zakspeed Turbo,,,,,,,,,,,,,,428.59,1982-07-04,Klaus Niedzwiedz,,,nurburgring
Ford,US,F-150 Hennessey VelociRaptor (wet),,,,,,,,,,,,,,,,,96.5,"Series 22, Episode 06",top_gear
Ford,US,Fiesta ST,,,,,,,,,,,,,,,,,92.7,"Series 20, Episode 01",top_gear
Ford,US,"Fiesta ST (Mk7, B479, 2020, 1.5 T, 200 PS)",,,,,,,,,,,,,,508.0,2020,Christian Gebhardt,,,nurburgring
Ford,US,"Fiesta ST Edition (Mk7, B479, 2022, 1.5 T, 200 PS)",,,,,,,,,,,,,,502.33,2022,Christian Gebhardt,,,nurburgring
Ford,US,"Focus RS (Mk III, 2016, 2.5 T, 350 PS)",,,,,,,,,,,,,,486.29,2017,Christian Gebhardt,,,nurburgring
Ford,US,"Focus RS (Mk2, C307, 2009, 305 PS)",,,,,,,,,,,,,,506.0,2009,Horst von Saurma,,,nurburgring
Ford,US,Focus RS 500 (wet),,,,,,,,,,,,,,,,,90.8,"Series 16, Episode 03",top_gear
Ford,US,Focus RS Mk I,,,,,,,,,,,,,,,,,92.2,"Series 01, Episode 02",top_gear
Ford,US,Focus RS Mk II,,,,,,,,,,,,,,,,,89.3,"Series 13, Episode 04",top_gear
Ford,US,Focus RS Mk III,,,,,,,,,,,,,,,,,86.4,Extra Gear,top_gear
Ford,US,Focus ST,,,,,,,,,,,,,,515.0,2005,Patrick Bernhard,89.6,"Series 19, Episode 04","nurburgring, top_gear"
Ford,US,"Focus ST (Mk4, C519, 2021, 2.3 T, 280 PS)",,,,,,,,,,,,,,502.7,2021,Christian Gebhardt,,,nurburgring
Ford,US,Focus ST (Not Shown on TV),,,,,,,,,,,,,,,,,93.5,,top_gear
Ford,US,Focus ST (written as Asbo ST) (foggy),,,,,,,,,,,,,,,,,94.9,"Series 07, Episode 03",top_gear
Ford,US,GT,2017,ICE,,,,,10.8,,,,,,,,,,81.9,"Series 04, Episode 08","acceleration, top_gear"
Ford,US,"GT (Mk1, 2006, 550 PS)",,,,,,,,,,,,,,472.0,2006,Horst von Saurma,,,nurburgring
Ford,US,Mondeo 2.0i,,,,,,,,,,,,,,,,,101.0,"Series 01, Episode 04",top_gear
Ford,US,Mondeo ST220,,,,,,,,,,,,,,,,,94.5,"Series 08, Episode 06",top_gear
Ford,US,Mustang GT,,,,,,,,,,,,,,,,,88.0,"Series 23, Episode 06",top_gear
Ford,US,"Mustang GT (Mk6, S550, facelift, 2020, N/A 5.0, 450 PS)",,,,,,,,,,,,,,498.0,2020,Christian Gebhardt,,,nurburgring
Ford,US,Mustang GT Performance Pack,,,,,,,,,,,,,,487.0,2015,Horst von Saurma,,,nurburgring
Ford,US,Mustang GTD,,,,,,,,,,,,,,412.072,2025-05-01,Dirk Müller,73.7,Stig Laps,"nurburgring, top_gear"
Ford,US,"Mustang Mach 1 (Mk6, 2021, N/A 5.0, 460 PS)",,,,,,,,,,,,,,478.29,2021-11-03,Christian Gebhardt,,,nurburgring
Ford,US,Shelby GT500,2020,ICE,,,,,10.61,,,,,,,,,,90.0,"Series 09, Episode 06","acceleration, top_gear"
Ford,US,Transit,,,,,,,,,,,,,,608.49,,Sabine Schmitz,,,nurburgring
Ford,US,Transit Supervan 4.2,,,,,,,,,,,,,,408.393,2025-08-18,Romain Dumas,,,nurburgring
Ford,US,Transit World Rally,,,,,,,,,,,,,,,,,122.0,"Series 01, Episode 08",top_gear
GMC,US,Hummer EV Edition 1/EV3X,2022,,,,,,,,,1000.0,746.0,,,,,,,,power_output
Gumpert,DE,Apollo S,,,,,,,,,,,,,,,,,77.1,"Series 11, Episode 06",top_gear
Gumpert,DE,Apollo Sport,,,,,,,,,,,,,,431.57,2009-08-13,Florian Gruber,,,nurburgring
HSV,AU,Maloo,,,,,,,,,,,,,,,,,87.1,"Series 13, Episode 07",top_gear
Hawk,GB,HF3000 (wet) (Kit car with Alfa Romeo V6 engine – spun twice during timed lap),,,,,,,,,,,,,,,,,108.2,"Series 14, Episode 03",top_gear
Hennessey,US,Venom F5,2021,,,,,,,,,2032.0,1515.0,,,,,,,,power_output
Hennessey,US,Venom GT,2014,,,,,,,270.49,435.31,,,,"7,000 cc (430 cu in) twin-turbocharged V8 928 kW (1,261 PS; 1,244 bhp)",,,,,,speed_records
Hispano-Suiza,ES,60/75,1907,,,,,,,,,74.0,55.0,,,,,,,,power_output
Holden,AU,Monaro (written as Loser) (wet),,,,,,,,,,,,,,,,,93.9,"Series 03, Episode 06",top_gear
Holden,AU,VF SS Redline Ute,,,,,,,,,,,,,,499.47,2013-04,Rob Trubiani,,,nurburgring
Honda,JP,Accord,,,,,,,,,,,,,,,,,104.0,"Series 01, Episode 04",top_gear
Honda,JP,Civic Type R,,,,,,,,,,,,,,,,,96.5,"Series 01, Episode 02",top_gear
Honda,JP,Civic Type R (FK2),,,,,,,,,,,,,,495.0,2016,Christian Gebhardt,87.7,"Series 23, Episode 03","nurburgring, top_gear"
Honda,JP,Civic Type R (FK8),,,,,,,,,,,,,,463.8,2017-04,,85.6,"Series 25, Episode 03","nurburgring, top_gear"
Honda,JP,"Civic Type R (FK8, 2018, 2.0 T, 320 PS)",,,,,,,,,,,,,,481.0,2018,Christian Gebhardt,,,nurburgring
Honda,JP,Civic Type R Prototype,,,,,,,,,,,,,,470.63,2014-05,,,,nurburgring
